/HPS/EgoSyn/work/anaconda3/envs/egofullbody/lib/python3.9/site-packages/mmcv/__init__.py:20: UserWarning: On January 1, 2023, MMCV will release v2.0.0, in which it will remove components related to the training process and add a data transformation module. In addition, it will rename the package names mmcv to mmcv-lite and mmcv-full to mmcv. See https://github.com/open-mmlab/mmcv/blob/master/docs/en/compatibility.md for more details.
  warnings.warn(
2023-08-22 16:41:26.200 | INFO     | human_body_prior.tools.model_loader:load_model:100 - Loaded model in eval mode with trained weights: /CT/EgoMocap/work/EgocentricFullBody/3rdparty/human_body_prior/support_data/downloads/V02_05/snapshots/V02_05_epoch=13_val_loss=0.03.ckpt
it 71 -- [total loss = 1.10e+03] - data = 1.10e+03 | poZ_body = 4.41e-03 | betas = 2.55e+00
it 72 -- [total loss = 1.09e+03] - data = 1.09e+03 | poZ_body = 4.36e-03 | betas = 2.56e+00
it 73 -- [total loss = 1.08e+03] - data = 1.07e+03 | poZ_body = 4.16e-03 | betas = 2.58e+00
it 74 -- [total loss = 1.09e+03] - data = 1.08e+03 | poZ_body = 3.91e-03 | betas = 2.70e+00
it 75 -- [total loss = 1.06e+03] - data = 1.06e+03 | poZ_body = 4.05e-03 | betas = 2.63e+00
it 76 -- [total loss = 1.04e+03] - data = 1.04e+03 | poZ_body = 3.96e-03 | betas = 2.64e+00
it 77 -- [total loss = 1.03e+03] - data = 1.03e+03 | poZ_body = 3.78e-03 | betas = 2.76e+00
it 78 -- [total loss = 1.01e+03] - data = 1.01e+03 | poZ_body = 3.75e-03 | betas = 2.76e+00
it 79 -- [total loss = 9.95e+02] - data = 9.92e+02 | poZ_body = 3.57e-03 | betas = 2.83e+00
it 80 -- [total loss = 9.83e+02] - data = 9.80e+02 | poZ_body = 3.38e-03 | betas = 2.97e+00
it 81 -- [total loss = 9.76e+02] - data = 9.73e+02 | poZ_body = 3.18e-03 | betas = 3.11e+00
it 82 -- [total loss = 9.62e+02] - data = 9.59e+02 | poZ_body = 3.28e-03 | betas = 2.98e+00
it 83 -- [total loss = 9.48e+02] - data = 9.45e+02 | poZ_body = 3.10e-03 | betas = 3.17e+00
